"","","","","base population","","","","","","","","","","","undercounts","","","","","","","","","","","","undercount %","","","","","","","","","",""
"NAME","REGION","DIVISION","STATE","nh white","black","AIAN","Asian/HPI","Hispanic","age 0-4","age 5-17","age 18-29","age 30-49","age 50+","total","nh white","black","AIAN","Asian/HPI","Hispanic","age 0-4","age 5-17","age 18-29","age 30-49","age 50+","total","","nh white","black","AIAN","Asian/HPI","Hispanic","age 0-4","age 5-17","age 18-29","age 30-49","age 50+","total"
"South Dakota","2.0","4.0","46.0","742865.0","25324.0","81588.0","17141.0","35499.0","63870.0","157758.0","140895.0","211483.0","320943.0","894949.0","-6009.0","756.0","575.0","143.0","682.0","2553.0","-1921.0","66.0","2040.0","-6689.0","-3951.0","South Dakota","-0.00808895290530581","0.029853103775075027","0.007047605039956857","0.008342570445131555","0.01921180878334601","0.03997181775481447","-0.0121768785101231","0.00046843394016821035","0.00964616541282278","-0.02084170709440617","-0.004414776707946487"
"Tennessee","3.0","6.0","47.0","5140798.0","1216997.0","43750.0","156336.0","404606.0","426872.0","1105185.0","1115594.0","1753800.0","2512634.0","6914085.0","-33849.0","29407.0","204.0","800.0","8640.0","20207.0","-6452.0","5990.0","26898.0","-42421.0","4222.0","Tennessee","-0.006584386315120727","0.02416357640980216","0.004662857142857143","0.005117183502200389","0.02135410745268236","0.04733737513821473","-0.005837936635043002","0.005369336873450377","0.015336982552172425","-0.01688307966858683","0.0006106375608630788"
"Texas","3.0","7.0","48.0","12218162.0","3943571.0","344741.0","1681923.0","11762733.0","2083628.0","5427175.0","5021700.0","7961993.0","8874454.0","29368950.0","-77459.0","97484.0","1858.0","6520.0","218716.0","111057.0","1058.0","57279.0","170073.0","-103013.0","236454.0","Texas","-0.006339660580699454","0.024719727373996817","0.005389553316837858","0.0038765151555689528","0.01859397811716036","0.053299821273279105","0.000194944883848411","0.011406296672441604","0.021360606571746547","-0.011607812717266887","0.008051156067888025"
"Utah","4.0","8.0","49.0","2581240.0","59418.0","55170.0","143007.0","470334.0","262292.0","684650.0","623694.0","856185.0","841668.0","3268489.0","-14904.0","1514.0","309.0","1025.0","8831.0","10928.0","-7995.0","532.0","9355.0","-16689.0","-3869.0","Utah","-0.005773969100122422","0.025480494126359016","0.0056008700380641655","0.007167481312103603","0.018776018744126516","0.041663489546002165","-0.011677499452274885","0.0008529823920063364","0.01092637689284442","-0.019828483440026235","-0.0011837274043143484"
"Vermont","1.0","1.0","50.0","585456.0","11397.0","3918.0","13944.0","13475.0","30303.0","85024.0","102329.0","144872.0","264042.0","626570.0","-5158.0","241.0","1.0","63.0","208.0","1159.0","-1225.0","-190.0","1191.0","-5608.0","-4673.0","Vermont","-0.008810226558443332","0.02114591559182241","0.00025523226135783564","0.004518072289156626","0.015435992578849722","0.03824703824703825","-0.014407696650357547","-0.0018567561492831943","0.008221050306477443","-0.0212390453033987","-0.007458065339866256"
"Virginia","3.0","5.0","51.0","5357512.0","1801932.0","60964.0","669485.0","857771.0","529221.0","1354469.0","1410148.0","2263147.0","3069683.0","8626668.0","-38550.0","40653.0","263.0","1696.0","17297.0","25507.0","-7044.0","8853.0","38204.0","-46633.0","18887.0","Virginia","-0.0071955041817918465","0.02256078475769341","0.004314021389672594","0.002533290514350583","0.020165055708341737","0.04819725596678892","-0.005200561991452001","0.006278064430116555","0.016880918473258698","-0.015191470910839978","0.0021893736956145756"
"Washington","4.0","9.0","53.0","5398885.0","405341.0","172532.0","872707.0","1022632.0","482957.0","1220722.0","1251018.0","2121949.0","2674026.0","7750672.0","-29519.0","10765.0","1006.0","4577.0","21468.0","22239.0","-7762.0","7094.0","31510.0","-46947.0","6134.0","Washington","-0.005467610441785665","0.026557885829462106","0.0058308024018732755","0.005244600994377265","0.020992888937565027","0.046047577734663746","-0.006358532081833538","0.00567058187811846","0.014849555762179016","-0.01755667297176617","0.0007914152476069171"
"West Virginia","3.0","5.0","54.0","1660913.0","73627.0","7481.0","17805.0","30743.0","97340.0","263696.0","262989.0","425241.0","737760.0","1787026.0","-14120.0","1610.0","6.0","47.0","545.0","3881.0","-3525.0","-556.0","3731.0","-15504.0","-11973.0","West Virginia","-0.008501348354790408","0.02186697814660383","0.0008020318139286192","0.002639707947205841","0.017727612789903393","0.039870556811177314","-0.013367665796978338","-0.0021141568658765196","0.0087738482413502","-0.021014964216005204","-0.006699958478500033"
"Wisconsin","2.0","3.0","55.0","4797521.0","426669.0","77192.0","194759.0","423845.0","345107.0","933944.0","933197.0","1418572.0","2244482.0","5875302.0","-37915.0","11425.0","387.0","1290.0","8798.0","14942.0","-8340.0","2880.0","17208.0","-43586.0","-16896.0","Wisconsin","-0.007903039924160832","0.026777197312202197","0.0050134728987459845","0.006623570669391401","0.020757588269296558","0.043296716670481905","-0.008929871598297114","0.0030861650862572428","0.012130508708757821","-0.019419180015700727","-0.002875767066952473"
"Wyoming","4.0","8.0","56.0","479011.0","9395.0","17077.0","7626.0","57854.0","36555.0","95250.0","84698.0","140160.0","208510.0","565173.0","-3572.0","200.0","87.0","19.0","1046.0","1518.0","-1114.0","14.0","1467.0","-4184.0","-2299.0","Wyoming","-0.007457031258154823","0.021287919105907396","0.005094571646073666","0.0024914765276685025","0.018079994468835344","0.041526466967583095","-0.011695538057742783","0.00016529315922453894","0.010466609589041095","-0.02006618387607309","-0.004067781015724389"
